2077;2014SP;186c;;Dropped;01/22/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2078;2014SP;186c;;;01/06/2014;100.00;100.00;100.00;95.00;100.00;100.00;100.00;70.00;100.00;0;0;0;0;0;0;0;90.00;85.00;80.00;60.00;65.00;70.00;75.00;75.00;60.00;0;0;0;0;0;37.650;NULL;38.85
2079;2014SP;186c;FED;Withdrawn;12/14/2013;100.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.00;50.00;0;0;0;0;0;0;0;0;0;0;0;0;0;4.900;NULL;04.90
2080;2014SP;186w;FED;Withdrawn;12/11/2013;100.00;100.00;0;0;0;0;0;0;0;0;0;0;0;0;0;85.00;65.00;0;0;0;0;0;0;0;0;0;0;0;0;0;7.000;NULL;07.00
2081;2014SP;186w;;Withdrawn;11/20/2013;0;100.00;100.00;100.00;50.00;50.00;100.00;90.00;0;0;0;0;0;0;0;100.00;95.00;90.00;75.00;100.00;60.00;75.00;50.00;0;0;0;0;0;0;0;30.500;NULL;30.50
2082;2014SP;186w;;Withdrawn;11/21/2013;100.00;20.00;0;0;0;0;0;0;0;0;0;0;0;0;0;70.00;85.00;40.00;0;0;0;0;0;0;0;0;0;0;0;0;6.300;NULL;06.30
2083;2014SP;186w;;Withdrawn;12/14/2013;100.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.900;NULL;03.90
2084;2014SP;186w;FED;;11/18/2013;100.00;100.00;100.00;85.00;100.00;100.00;90.00;90.00;100.00;0;0;0;0;0;0;100.00;85.00;85.00;90.00;95.00;60.00;60.00;35.00;65.00;0;0;0;0;0;0;39.250;NULL;39.25
2085;2014SP;186w;;Dropped;12/09/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;00.00
2086;2014SP;186w;;Dropped;11/21/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2087;2014SP;186w;;Withdrawn;01/14/2014;100.00;100.00;0;100.00;70.00;0;0;0;0;0;0;0;0;0;0;90.00;85.00;80.00;70.00;80.00;75.00;0;0;0;0;0;0;0;0;0;18.700;NULL;18.70
2088;2014SP;186w;;Dropped;11/21/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;00.00
2089;2014SP;186w;;;11/20/2013;100.00;95.00;100.00;100.00;90.00;100.00;100.00;90.00;100.00;100.00;0;0;0;0;0;95.00;85.00;90.00;85.00;85.00;0;85.00;0;85.00;80.00;0;0;0;0;0;38.400;NULL;45.00
2090;2014SP;186w;;Dropped;11/21/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2091;2014SP;186w;;Dropped;12/12/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2092;2014SP;186w;FED;Dropped;12/04/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2093;2014SP;186w;;Withdrawn;11/26/2013;100.00;20.00;0;0;0;0;0;0;0;0;0;0;0;0;0;95.00;90.00;0;0;0;0;0;0;0;0;0;0;0;0;0;6.100;NULL;06.10
2094;2014SP;186w;;Dropped;12/09/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;00.00
2095;2014SP;186w;;;11/20/2013;100.00;95.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0;0;0;0;0;95.00;95.00;100.00;95.00;90.00;95.00;90.00;85.00;80.00;100.00;100.00;0;0;0;0;43.400;NULL;52.40
2096;2014SP;186w;FED;;11/26/2013;100.00;90.00;100.00;100.00;100.00;100.00;100.00;85.00;85.00;80.00;0;0;0;0;0;100.00;60.00;85.00;90.00;95.00;0;0;45.00;65.00;75.00;0;0;0;0;0;36.400;NULL;41.90
2097;2014SP;186w;;;11/20/2013;100.00;99.00;100.00;100.00;95.00;100.00;99.00;0;80.00;0;0;0;0;0;0;95.00;80.00;60.00;85.00;80.00;65.00;70.00;0;55.00;45.00;0;0;0;0;0;33.790;NULL;34.69
2098;2014SP;186w;;Withdrawn;11/20/2013;100.00;100.00;99.00;100.00;0;0;0;0;0;0;0;0;0;0;0;100.00;100.00;95.00;90.00;60.00;65.00;0;0;0;0;0;0;0;0;0;19.180;NULL;19.18
2099;2014SP;186w;;Dropped;12/05/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2100;2014SP;186w;;Dropped;11/19/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2101;2014SP;186w;;;12/05/2013;100.00;100.00;90.00;100.00;100.00;100.00;100.00;99.00;100.00;100.00;0;0;0;0;0;0;85.00;95.00;95.00;80.00;85.00;90.00;75.00;80.00;95.00;0;0;0;0;0;40.460;NULL;47.36
2102;2014SP;186w;;Dropped;12/14/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2103;2014SP;186w;FED;;11/20/2013;100.00;99.00;100.00;100.00;100.00;100.00;100.00;95.00;100.00;95.00;0;0;0;0;0;95.00;85.00;80.00;95.00;75.00;70.00;80.00;65.00;85.00;70.00;0;0;0;0;0;42.780;NULL;47.53
2104;2014SP;186w;;;12/07/2013;100.00;100.00;95.00;100.00;100.00;95.00;90.00;95.00;0;0;0;0;0;0;0;85.00;80.00;80.00;95.00;70.00;65.00;90.00;75.00;0;85.00;0;0;0;0;0;34.950;NULL;36.65
2105;2014SP;186w;;;12/13/2013;100.00;100.00;100.00;100.00;100.00;100.00;100.00;90.00;100.00;80.00;0;0;0;0;0;100.00;100.00;100.00;100.00;95.00;90.00;90.00;100.00;95.00;95.00;95.00;0;0;0;0;44.000;NULL;51.80
2106;2014SP;186w;;Withdrawn;11/27/2013;100.00;95.00;80.00;0;0;0;0;0;0;0;0;0;0;0;0;80.00;85.00;0;80.00;0;0;0;0;0;0;0;0;0;0;0;10.400;NULL;10.40
2107;2014SP;186w;;Withdrawn;11/27/2013;100.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.800;NULL;03.80
2108;2014SP;186w;;;12/02/2013;100.00;90.00;95.00;100.00;98.00;95.00;0;0;0;0;0;0;0;0;0;100.00;85.00;80.00;95.00;90.00;65.00;0;65.00;75.00;80.00;0;0;0;0;0;27.590;NULL;29.19
2109;2014SP;186w;;Dropped;12/06/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2110;2014SP;186w;;Dropped;01/14/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;NULL;0
2111;2014SP;186w;;;12/03/2013;100.00;100.00;99.00;100.00;100.00;100.00;90.00;90.00;100.00;100.00;0;0;0;0;0;95.00;75.00;90.00;90.00;75.00;0;90.00;75.00;90.00;95.00;90.00;0;0;0;0;31.180;NULL;48.48
2112;2014SP;186w;;Withdrawn;11/19/2013;0;100.00;90.00;50.00;65.00;0;0;0;0;0;0;0;0;0;0;95.00;70.00;75.00;85.00;70.00;0;75.00;0;0;0;0;0;0;0;0;16.650;NULL;16.65
